id,manufacturer,model,accessory_type,instrument_compatibility,material,notes,created_at,category,Price
1,Yamakawa,RA-S12,Cleaning Brush,Wind instruments,Synthetic bristles,Általános tisztítókefe fúvós hangszerekhez,2025-12-18 10:41:16.651276,wind_accessories,1610
2,Hohner,TM80001,Cleaning Brush,Wind instruments,Synthetic bristles,Tisztítókefe szaxofonhoz és klarinéthoz,2025-12-18 10:41:16.651276,wind_accessories,1590
3,Hohner,TM8005,Cleaning Brush,Wind instruments,Synthetic bristles,Kompakt tisztítókefe fúvós hangszerekhez,2025-12-18 10:41:16.651276,wind_accessories,840
