ID,manufacturer,Model,series,key,bore_size,bell_material,bell_size,finish,valves,leadpipe,skill_level,recommended_genres,country_of_origin,release_year,notes,category,Price
1,Roy Benson," TR-402C C trombita",TR,C,ML,Yellow Brass,"4.8""",Gold lacquer,Stainless steel,Standard,Beginner,"Classical, Orchestra",Germany,2016,Belépő szintű C trombita tanulóknak,instrument,307000
2,Yamaha YTR," 4435 SII C trombita",YTR,C,ML,Yellow Brass,"4.8""",Silver plated,Monel,Standard,Intermediate,"Classical, Orchestra",Japan,2019,Konzervatóriumi szintű Yamaha C trombita,instrument,548700
3,Yamaha YTR," 4435 II C trombita",YTR,C,ML,Yellow Brass,"4.8""",Gold lacquer,Monel,Standard,Intermediate,"Classical, Orchestra",Japan,2019,Yamaha 4435 II C trombita lakkozott kivitel,instrument,502200
